username,noEdits,noItems,noBatchEdits,noOntoEdits,noPropEdits,noCommEdits,noTaxoEdits,minTime,timeframe,userAge
Blackpen,19,17,0.0,0.0,0.0,0.0,0,2012-12-22 10:20:23,2013-01-01,229.0
Dega180,19,2,0.0,0.0,0.0,2.0,0,2012-12-26 01:49:09,2013-01-01,142.0
178.192.37.90,19,3,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
TBloemink,18,11,18.0,0.0,0.0,1.0,0,2012-10-30 18:15:29,2013-01-01,1493.0
86.180.85.143,18,18,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
J36miles,18,6,0.0,0.0,0.0,3.0,0,2012-11-12 00:27:22,2013-01-01,1199.0
Jarekt,18,13,0.0,0.0,0.0,5.0,0,2010-12-04 16:15:20,2013-01-01,18199.0
Jeblad,18,11,0.0,0.0,0.0,110.0,0,0,2013-01-01,0.0
84.176.143.85,17,8,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
86.182.96.16,17,17,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Julian leonardo paez,17,10,0.0,0.0,0.0,4.0,0,2012-11-05 15:19:03,2013-01-01,1352.0
86.129.21.143,17,16,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
81.151.32.55,17,17,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Ynhockey,16,5,0.0,0.0,0.0,1.0,0,2012-12-01 15:46:24,2013-01-01,728.0
Michiel1972,16,5,0.0,0.0,0.0,1.0,0,2012-10-30 10:30:34,2013-01-01,1501.0
Michawiki,16,8,0.0,0.0,0.0,32.0,0,2012-12-07 19:57:47,2013-01-01,580.0
86.183.131.11,16,15,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Slgrandson,16,2,0.0,0.0,0.0,0.0,0,2012-11-21 21:38:39,2013-01-01,962.0
86.182.71.135,16,14,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Zanimum,16,15,0.0,0.0,0.0,0.0,0,2012-12-03 18:10:31,2013-01-01,677.0
Convallaria majalis,16,6,1.0,0.0,0.0,0.0,0,2012-10-31 14:49:58,2013-01-01,1473.0
MB-one,16,6,0.0,0.0,0.0,0.0,0,2012-11-29 11:45:03,2013-01-01,780.0
86.163.87.242,15,12,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Muichstrossn,15,1,0.0,0.0,0.0,0.0,0,2012-12-08 16:51:08,2013-01-01,559.0
Kwj2772,15,13,1.0,0.0,0.0,0.0,0,2009-07-25 08:04:00,2013-01-01,30135.0
85.119.130.112,15,12,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Lijealso,15,11,2.0,0.0,0.0,3.0,0,2012-12-29 17:46:23,2013-01-01,54.0
93.219.13.177,15,14,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Thirafydion,14,9,0.0,0.0,0.0,7.0,0,2012-12-27 16:19:38,2013-01-01,103.0
Velocitas,14,3,0.0,0.0,0.0,0.0,0,2012-12-11 19:45:47,2013-01-01,484.0
Florentyna,14,14,0.0,0.0,0.0,0.0,0,2012-12-07 22:28:56,2013-01-01,577.0
H2NCH2COOH,14,11,0.0,0.0,0.0,7.0,0,2012-12-02 15:24:27,2013-01-01,704.0
Ash Crow,14,3,0.0,0.0,0.0,0.0,0,2012-12-17 00:35:32,2013-01-01,359.0
86.129.21.57,14,14,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
MaxEddi,14,11,0.0,0.0,0.0,0.0,0,2012-11-22 18:01:16,2013-01-01,941.0
79.217.177.226,14,14,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Cruccone,13,7,0.0,0.0,0.0,0.0,0,2012-10-30 17:26:16,2013-01-01,1494.0
86.182.97.204,13,10,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
91.198.174.211,13,13,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Snipre,13,5,0.0,0.0,0.0,0.0,0,2012-10-29 20:42:53,2013-01-01,1515.0
80.218.24.92,13,11,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
82.57.120.35,13,3,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
86.184.234.215,13,11,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
86.184.24.152,13,12,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
93.220.120.199,13,4,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
84.222.178.172,12,6,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
75.173.71.78,12,10,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
68.84.47.109,12,12,0.0,0.0,0.0,5.0,0,0,2013-01-01,0.0
86.162.119.50,12,12,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Eest9,12,3,0.0,0.0,0.0,0.0,0,2012-12-22 14:50:15,2013-01-01,225.0
Sanyi4,12,2,0.0,0.0,0.0,0.0,0,2012-12-23 20:36:59,2013-01-01,195.0
Hydriz,12,5,0.0,0.0,0.0,1.0,0,2012-10-30 09:39:41,2013-01-01,1502.0
92.224.25.38,11,4,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Dodoïste,11,9,0.0,0.0,0.0,1.0,0,2012-11-04 21:05:01,2013-01-01,1370.0
Draceane,11,8,0.0,0.0,0.0,12.0,0,2012-12-06 15:09:53,2013-01-01,608.0
Blackcat,11,4,0.0,0.0,0.0,1.0,0,2012-12-25 18:17:56,2013-01-01,149.0
MichaelSchoenitzer,11,9,0.0,0.0,0.0,4.0,0,2012-10-30 22:05:41,2013-01-01,1489.0
Gobonobo,11,10,0.0,0.0,0.0,0.0,0,2012-12-17 12:30:18,2013-01-01,347.0
81.35.27.198,11,8,0.0,0.0,0.0,11.0,0,0,2013-01-01,0.0
Roucas,11,6,0.0,0.0,0.0,4.0,0,2012-12-02 21:22:53,2013-01-01,698.0
86.183.172.163,11,11,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Danmichaelo,11,7,0.0,0.0,0.0,24.0,0,2011-07-10 11:57:23,2013-01-01,12972.0
121.99.58.70,11,7,0.0,0.0,0.0,1.0,0,0,2013-01-01,0.0
Érico,11,11,0.0,0.0,0.0,3.0,0,2012-12-01 22:00:47,2013-01-01,721.0
ZxxZxxZ,11,8,2.0,0.0,0.0,1.0,0,2012-04-28 12:22:01,2013-01-01,5939.0
152.81.5.52,11,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
BuschBohne,10,4,0.0,0.0,0.0,0.0,0,2012-12-01 18:10:10,2013-01-01,725.0
Ciphers,10,10,0.0,0.0,0.0,25.0,0,2012-12-11 21:22:49,2013-01-01,482.0
$traight-$hoota,10,8,0.0,0.0,0.0,0.0,0,2012-12-04 12:58:12,2013-01-01,659.0
BohemianRhapsody,10,1,0.0,0.0,0.0,0.0,0,2012-10-31 01:14:13,2013-01-01,1486.0
Kaganer,10,9,0.0,0.0,0.0,19.0,0,2006-11-20 19:35:07,2013-01-01,53596.0
86.173.173.212,10,10,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
86.182.97.119,10,10,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
アルトクール,9,1,0.0,0.0,0.0,0.0,0,2012-11-28 13:51:13,2013-01-01,802.0
Frank C. Müller,9,4,0.0,0.0,0.0,0.0,0,2012-11-22 09:11:32,2013-01-01,950.0
Ebrahim,9,6,0.0,0.0,0.0,0.0,0,2011-05-31 17:33:58,2013-01-01,13926.0
86.184.24.243,9,9,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Kusavica,9,7,0.0,0.0,0.0,0.0,0,2012-12-06 18:22:46,2013-01-01,605.0
90.53.197.46,9,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
MisterSynergy,9,9,0.0,0.0,0.0,0.0,0,2012-12-23 16:56:32,2013-01-01,199.0
87.4.19.50,9,2,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
SPQRobin,9,8,0.0,0.0,0.0,2.0,0,2012-10-31 00:08:38,2013-01-01,1487.0
90.155.51.9,9,4,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Bináris,9,6,0.0,0.0,0.0,9.0,0,2012-11-11 12:55:19,2013-01-01,1211.0
EdwardsBot,9,3,0.0,0.0,0.0,36.0,0,2012-11-24 09:07:16,2013-01-01,902.0
86.77.92.20,9,5,0.0,0.0,0.0,1.0,0,0,2013-01-01,0.0
Skizzik,9,4,0.0,0.0,0.0,0.0,0,2012-12-10 21:17:24,2013-01-01,506.0
Gthf,9,2,0.0,0.0,0.0,0.0,0,2012-11-03 18:25:20,2013-01-01,1397.0
Una giornata uggiosa '94,9,2,0.0,0.0,0.0,0.0,0,2012-12-27 00:44:16,2013-01-01,119.0
Jesi,9,4,0.0,0.0,0.0,0.0,0,2012-12-21 13:54:18,2013-01-01,250.0
Katkov Yury,8,1,0.0,0.0,0.0,0.0,0,2012-12-09 10:19:11,2013-01-01,541.0
Khgoo61,8,3,0.0,0.0,0.0,0.0,0,2012-12-16 11:04:34,2013-01-01,372.0
178.2.148.184,8,8,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Crapsy1994,8,5,0.0,0.0,0.0,0.0,0,2012-12-24 16:01:05,2013-01-01,175.0
Sturmflut,8,6,0.0,0.0,0.0,0.0,0,2012-12-24 21:41:54,2013-01-01,170.0
Centralien,8,1,0.0,0.0,0.0,0.0,0,2012-12-15 16:55:31,2013-01-01,391.0
Андера,8,4,0.0,0.0,0.0,1.0,0,2012-12-10 20:30:13,2013-01-01,507.0
HueSatLum,8,3,0.0,0.0,0.0,1.0,0,2012-12-31 17:49:57,2013-01-01,6.0
Fra4481,8,3,0.0,0.0,0.0,0.0,0,2012-12-01 13:05:24,2013-01-01,730.0
Sbisolo,8,4,0.0,0.0,0.0,0.0,0,2012-11-15 16:13:24,2013-01-01,1111.0
91.198.174.201,8,8,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
84.175.74.231,8,4,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
TomT0m,7,3,0.0,0.0,0.0,0.0,0,2012-12-15 17:38:56,2013-01-01,390.0
Albe ni,7,5,0.0,0.0,0.0,0.0,0,2012-12-30 11:30:49,2013-01-01,36.0
Ypnypn,7,7,0.0,0.0,0.0,5.0,0,2012-11-23 18:07:52,2013-01-01,917.0
Tpt,7,6,0.0,0.0,0.0,17.0,0,2012-10-30 10:08:12,2013-01-01,1501.0
91.187.117.11,7,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
77.202.10.41,7,6,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Musicaline,7,2,0.0,0.0,0.0,0.0,0,2012-12-01 06:17:20,2013-01-01,737.0
217.232.66.42,7,7,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Àlex,7,5,0.0,0.0,0.0,1.0,0,2012-11-04 00:24:31,2013-01-01,1391.0
Donarreiskoffer,7,4,0.0,0.0,0.0,0.0,0,2012-11-14 15:22:26,2013-01-01,1136.0
91.198.174.203,7,7,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
81.221.130.85,7,3,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Rippitippi,7,2,0.0,0.0,0.0,0.0,0,2012-11-11 00:38:49,2013-01-01,1223.0
L736E,7,2,0.0,0.0,0.0,0.0,0,2012-10-31 13:41:48,2013-01-01,1474.0
Raystorm,6,1,0.0,0.0,0.0,0.0,0,2012-10-30 18:36:13,2013-01-01,1493.0
187.114.146.108,6,6,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
86.180.84.156,6,6,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Giftzwerg 88,6,4,0.0,0.0,0.0,37.0,0,2012-12-30 21:36:55,2013-01-01,26.0
UV,6,3,0.0,0.0,0.0,0.0,0,2012-12-31 14:36:02,2013-01-01,9.0
Denny Vrandečić (WMDE),6,2,0.0,0.0,0.0,2.0,0,2012-10-29 20:29:03,2013-01-01,1515.0
82.117.201.26,6,2,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Rgabriel~wikidatawiki,6,4,0.0,0.0,0.0,0.0,0,2012-12-28 22:26:05,2013-01-01,73.0
109.48.70.80,6,6,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Njardarlogar,6,4,0.0,0.0,0.0,2.0,0,2012-12-16 16:10:47,2013-01-01,367.0
110.245.14.40,6,2,0.0,0.0,0.0,1.0,0,0,2013-01-01,0.0
Arkanosis,6,6,0.0,0.0,0.0,7.0,0,2012-10-31 15:30:13,2013-01-01,1472.0
Peter17,6,1,0.0,0.0,0.0,0.0,0,2012-12-03 15:58:43,2013-01-01,680.0
Hoo man,6,3,0.0,0.0,0.0,1.0,0,2012-11-01 00:21:16,2013-01-01,1463.0
83.206.120.18,5,5,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
David.riccitelli,5,2,0.0,0.0,0.0,0.0,0,2012-12-23 07:42:42,2013-01-01,208.0
Vhsaw,5,2,0.0,0.0,0.0,0.0,0,2012-12-23 14:18:53,2013-01-01,201.0
Waldir,5,5,0.0,0.0,0.0,1.0,0,2012-10-31 18:54:52,2013-01-01,1469.0
80.81.14.181,5,5,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
77.253.206.0,5,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
SimonMKay,5,2,0.0,0.0,0.0,0.0,0,2012-12-24 12:47:52,2013-01-01,179.0
Kdkeller,5,3,0.0,0.0,0.0,0.0,0,2012-12-23 22:12:47,2013-01-01,193.0
79.168.51.74,5,5,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Xgeorg,5,2,0.0,0.0,0.0,0.0,0,2012-12-03 15:55:36,2013-01-01,680.0
82.134.149.180,5,5,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
109.48.79.27,5,5,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
86.166.67.19,5,5,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Sonderwonder,5,4,0.0,0.0,0.0,0.0,0,2012-12-21 14:51:02,2013-01-01,249.0
93.220.73.222,5,3,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
62.31.128.116,5,2,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Cocu,5,2,0.0,0.0,0.0,0.0,0,2012-10-30 16:18:56,2013-01-01,1495.0
77.202.4.51,5,4,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
190.20.126.82,5,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Shisma,5,4,0.0,0.0,0.0,0.0,0,2012-10-30 21:31:33,2013-01-01,1490.0
Нойе Цюрхер Цайтунг 1995,5,4,0.0,0.0,0.0,0.0,0,2012-12-30 17:12:34,2013-01-01,30.0
"<contributor deleted=""deleted"" />",5,5,0.0,0.0,0.0,4.0,0,2012-10-31 17:21:32,2013-01-01,1470.0
IamBorg,5,2,0.0,0.0,0.0,0.0,0,2012-11-10 20:14:03,2013-01-01,1227.0
87.175.153.161,5,5,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
77.6.150.209,5,5,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Eleassar,4,1,0.0,0.0,0.0,2.0,0,2006-11-14 12:49:54,2013-01-01,53747.0
Morten Haan,4,2,0.0,0.0,0.0,3.0,0,2012-10-31 15:29:18,2013-01-01,1472.0
Atamari,4,4,0.0,0.0,0.0,0.0,0,2012-12-23 17:42:38,2013-01-01,198.0
Rosenzweig,4,3,1.0,0.0,0.0,0.0,0,2012-10-30 23:06:54,2013-01-01,1488.0
109.48.74.15,4,4,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
81.159.143.117,4,4,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Babel AutoCreate,4,4,0.0,0.0,0.0,0.0,0,2012-11-14 12:43:03,2013-01-01,1139.0
Trockennasenaffe,4,4,0.0,0.0,0.0,0.0,0,2012-10-31 13:40:21,2013-01-01,1474.0
C messier,4,4,0.0,0.0,0.0,1.0,0,2012-12-29 19:12:09,2013-01-01,52.0
93.220.72.41,4,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
JAn Dudík,4,4,0.0,0.0,0.0,1.0,0,2012-10-30 13:13:26,2013-01-01,1498.0
86.183.175.188,4,4,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Ignatus,4,3,0.0,0.0,0.0,7.0,0,2012-11-01 09:42:49,2013-01-01,1454.0
Docu,4,4,0.0,0.0,0.0,0.0,0,2009-10-26 19:49:33,2013-01-01,27892.0
Danny B.,4,4,0.0,0.0,0.0,2.0,0,2012-11-06 23:18:41,2013-01-01,1320.0
77.6.221.185,4,4,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Fundriver,4,3,0.0,0.0,0.0,0.0,0,2012-12-04 13:45:13,2013-01-01,658.0
Green Mostaza,4,3,0.0,0.0,0.0,4.0,0,2012-11-03 05:36:10,2013-01-01,1410.0
95.118.40.53,4,4,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Rohini,4,1,0.0,0.0,0.0,1.0,0,2012-12-05 07:14:58,2013-01-01,640.0
GiacomoV,4,1,0.0,0.0,0.0,0.0,0,2012-10-30 17:34:09,2013-01-01,1494.0
Fnielsen,4,1,0.0,0.0,0.0,0.0,0,2012-10-30 12:29:01,2013-01-01,1499.0
77.201.235.217,4,3,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Vive la Rosière,4,2,0.0,0.0,0.0,0.0,0,2012-12-30 03:08:18,2013-01-01,44.0
101.63.250.123,4,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
DavidL,4,4,0.0,0.0,0.0,0.0,0,2012-12-15 16:53:49,2013-01-01,391.0
Nicolas M. Perrault,4,3,0.0,0.0,0.0,1.0,0,2012-10-30 21:02:07,2013-01-01,1490.0
Kghbln,4,1,2.0,0.0,0.0,0.0,0,2012-11-10 22:41:22,2013-01-01,1225.0
YFdyh000,4,4,0.0,0.0,0.0,19.0,0,2012-12-06 02:43:00,2013-01-01,621.0
TED,4,2,0.0,0.0,0.0,1.0,0,2012-12-04 01:31:11,2013-01-01,670.0
Capaccio,3,1,0.0,0.0,0.0,4.0,0,2012-12-23 17:10:43,2013-01-01,198.0
77.188.48.174,3,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Ironholds,3,3,0.0,0.0,0.0,0.0,0,2012-10-30 10:45:51,2013-01-01,1501.0
203.189.158.119,3,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
86.178.8.34,3,3,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Gereon K.,3,2,0.0,0.0,0.0,3.0,0,2012-12-05 15:20:17,2013-01-01,632.0
Aslkjdflk,3,1,0.0,0.0,0.0,0.0,0,2012-12-16 21:55:24,2013-01-01,362.0
Vajotwo,3,1,0.0,0.0,0.0,0.0,0,2012-10-31 11:42:08,2013-01-01,1476.0
Мастер теней,3,1,0.0,0.0,0.0,0.0,0,2012-10-30 21:06:37,2013-01-01,1490.0
Dcoetzee,3,2,0.0,0.0,0.0,0.0,0,2012-12-10 19:44:01,2013-01-01,508.0
Xtreme2000,3,1,0.0,0.0,0.0,0.0,0,2012-12-25 22:56:27,2013-01-01,145.0
93.173.133.100,3,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
RanZag,3,2,0.0,0.0,0.0,2.0,0,2012-11-11 15:39:32,2013-01-01,1208.0
82.170.182.74,3,2,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
86.66.180.48,3,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Aplasia,3,1,0.0,0.0,0.0,0.0,0,2012-10-30 17:05:21,2013-01-01,1494.0
Ort43v,3,1,0.0,0.0,0.0,0.0,0,2012-12-07 15:33:07,2013-01-01,584.0
93.203.212.69,3,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
SMcCandlish,3,2,0.0,0.0,0.0,1.0,0,2008-09-01 21:41:42,2013-01-01,37970.0
194.95.119.139,3,2,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Ali1,3,2,0.0,0.0,0.0,0.0,0,2012-12-04 17:45:09,2013-01-01,654.0
Another Believer,3,2,0.0,0.0,0.0,0.0,0,2012-12-20 19:42:05,2013-01-01,268.0
Leag,3,3,0.0,0.0,0.0,2.0,0,2012-10-30 12:23:19,2013-01-01,1499.0
Strannik27,3,1,0.0,0.0,0.0,0.0,0,2012-12-03 07:06:48,2013-01-01,688.0
Holder,3,2,0.0,0.0,0.0,4.0,0,2012-12-08 12:22:29,2013-01-01,563.0
Nick168~wikidatawiki,3,2,0.0,0.0,0.0,0.0,0,2012-12-16 23:52:13,2013-01-01,360.0
87.175.168.23,3,2,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
184.151.63.185,3,2,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Osiris,3,2,0.0,0.0,0.0,0.0,0,2012-11-09 11:45:16,2013-01-01,1260.0
Alter Fritz,3,2,0.0,0.0,0.0,0.0,0,2012-12-07 20:04:09,2013-01-01,579.0
Naveen kembanur,3,1,0.0,0.0,0.0,0.0,0,2012-12-08 16:13:41,2013-01-01,559.0
Don-kun,3,3,0.0,0.0,0.0,0.0,0,2012-10-30 22:04:46,2013-01-01,1489.0
87.221.76.177,3,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
188.56.167.65,3,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Esceptic0,3,1,0.0,0.0,0.0,0.0,0,2012-11-08 21:31:44,2013-01-01,1274.0
Bennylin,3,2,0.0,0.0,0.0,14.0,0,2012-11-08 08:47:06,2013-01-01,1287.0
77.202.3.251,3,3,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Pólux,3,2,0.0,0.0,0.0,0.0,0,2012-12-21 02:21:50,2013-01-01,261.0
John Erling Blad (WMDE),3,3,0.0,0.0,0.0,9.0,0,2012-11-02 09:53:42,2013-01-01,1430.0
77.202.3.164,2,2,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
129.24.94.151,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Silke WMDE,2,1,0.0,0.0,0.0,0.0,0,2012-10-30 09:58:37,2013-01-01,1502.0
93.23.18.79,2,2,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Leimeisei~wikidatawiki,2,2,0.0,0.0,0.0,0.0,0,2012-12-09 00:08:05,2013-01-01,551.0
217.252.100.31,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
91.58.181.15,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
85.178.1.6,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Mathematicair,2,2,0.0,0.0,0.0,2.0,0,2012-12-06 21:02:44,2013-01-01,602.0
Imdad.ahmed,2,1,0.0,0.0,0.0,0.0,0,2012-12-08 18:47:52,2013-01-01,557.0
188.23.159.161,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Pequod76,2,1,0.0,0.0,0.0,3.0,0,2012-12-23 11:49:30,2013-01-01,204.0
85.241.15.219,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Ebe123,2,2,0.0,0.0,0.0,0.0,0,2011-07-14 20:44:45,2013-01-01,12867.0
Maximilianklein,2,1,0.0,0.0,0.0,0.0,0,2012-12-07 18:54:46,2013-01-01,581.0
193.55.52.2,2,2,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Signalwerk,2,2,0.0,0.0,0.0,1.0,0,2012-12-21 23:15:09,2013-01-01,240.0
117.57.119.202,2,2,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Zebulon84,2,1,0.0,0.0,0.0,0.0,0,2012-12-17 05:05:59,2013-01-01,354.0
Sikky,2,1,0.0,0.0,0.0,0.0,0,2012-12-12 19:06:49,2013-01-01,460.0
75.36.162.157,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
176.28.87.177,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
85.1.248.32,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Althiphika,2,2,0.0,0.0,0.0,0.0,0,2012-12-04 20:23:21,2013-01-01,651.0
91.55.34.204,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
81.249.233.125,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
86.76.195.121,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
93.220.80.111,2,2,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
84.186.249.91,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
24.200.114.2,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Ra'ike,2,2,0.0,0.0,0.0,0.0,0,2012-12-16 22:34:44,2013-01-01,361.0
85.179.38.129,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
194.174.73.33,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Li3939108,2,2,0.0,0.0,0.0,0.0,0,2012-12-31 14:41:09,2013-01-01,9.0
Dank,2,2,0.0,0.0,0.0,0.0,0,2012-12-03 23:11:29,2013-01-01,672.0
Alug,2,1,0.0,0.0,0.0,0.0,0,2012-12-08 01:40:13,2013-01-01,574.0
TheGeneralUser,2,2,0.0,0.0,0.0,0.0,0,2012-12-24 12:53:06,2013-01-01,179.0
132.185.161.100,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Flominator,2,2,0.0,0.0,0.0,2.0,0,2012-12-04 12:20:28,2013-01-01,659.0
Catalaalatac,2,1,0.0,0.0,0.0,0.0,0,2012-12-29 23:23:01,2013-01-01,48.0
84.156.165.162,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Stratoprutser,2,1,0.0,0.0,0.0,3.0,0,2012-12-09 18:58:28,2013-01-01,533.0
Meisam,2,2,0.0,0.0,0.0,0.0,0,2012-12-30 18:21:25,2013-01-01,29.0
79.214.101.134,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
LavixCanvas,2,1,0.0,0.0,0.0,0.0,0,2012-12-21 10:25:01,2013-01-01,253.0
Gloumouth1,2,2,0.0,0.0,0.0,0.0,0,2012-10-30 14:07:20,2013-01-01,1497.0
Jens Ohlig,2,2,0.0,0.0,0.0,0.0,0,2012-10-29 18:08:27,2013-01-01,1517.0
80.98.35.104,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Olivier Cheminet,2,1,0.0,0.0,0.0,0.0,0,2012-12-29 13:58:00,2013-01-01,58.0
Maćko,2,1,0.0,0.0,0.0,0.0,0,2012-10-30 23:42:26,2013-01-01,1488.0
86.140.151.59,2,2,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
WTM,2,1,0.0,0.0,0.0,1.0,0,2012-10-30 15:34:58,2013-01-01,1496.0
82.48.138.16,2,2,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
ShreCk,2,1,0.0,0.0,0.0,0.0,0,2012-12-13 19:37:30,2013-01-01,436.0
86.76.9.135,2,2,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
Rancalred,2,2,0.0,0.0,0.0,0.0,0,2012-12-19 22:50:47,2013-01-01,289.0
95.180.36.82,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
178.2.152.72,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
BinBot,2,1,0.0,0.0,0.0,0.0,0,0,2013-01-01,0.0
